Date,High,Low,Open,Close,Volume,Adj Close
2018-07-17,12531.848094609742,12455.275727158678,12468.151198263966,12511.321895499337,164404500,12511.321895499337
2018-07-18,12574.063125456329,12513.309321942217,12566.848611289028,12513.309321942217,182820700,12513.309321942217
2018-07-19,12492.006561365724,12415.535677111475,12415.535677111475,12475.867503277357,179816500,12475.867503277357
2018-07-20,,,,,175726000,
2018-07-23,12487.280593987958,12445.44020462466,12487.280593987958,12469.284376748787,154956300,12469.284376748787
2018-07-24,12556.596463997666,12463.66993467933,12517.053639240665,12463.66993467933,178751900,12463.66993467933
2018-07-25,12596.283371579011,12541.899811197778,12553.788958471558,12595.43992526914,158513300,12595.43992526914
2018-07-26,12610.451680696797,12521.462620696097,12539.290919917337,12591.398661980875,185503900,12591.398661980875
2018-07-27,,,,,213660700,
2018-07-30,12621.27667433548,12542.599981571424,12621.27667433548,12546.437869023328,143937900,12546.437869023328
2018-07-31,12624.058873161794,12540.098354164587,12566.138770307381,12624.058873161794,218906200,12624.058873161794
2018-08-01,12641.612018857051,12561.910814557537,12604.377403674198,12598.992166862376,183217000,12598.992166862376
2018-08-02,12606.089690201361,12489.232092062946,12531.767615966037,12598.717765804831,177619800,12598.717765804831
2018-08-03,,,,,169210300,
2018-08-07,12630.640054443305,12467.45536867675,12628.725636506957,12471.51378513791,247971400,12471.51378513791
2018-08-08,12539.441772366208,12470.696094515502,12521.775285320777,12531.760691042107,173124600,12531.760691042107
2018-08-09,12594.782020192606,12515.062875230386,12515.21558242664,12584.126950430435,178858400,12584.126950430435
2018-08-10,,,,,181112000,
2018-08-13,12466.989605747522,12366.320873253735,12426.173455404496,12374.773081696516,169202400,12374.773081696516
2018-08-14,12516.850038535753,12446.843614418955,12481.693490612406,12508.195163934224,187168600,12508.195163934224
2018-08-15,12371.456291211913,12230.701234948165,12371.456291211913,12286.394735541291,284164600,12286.394735541291
2018-08-16,12377.141798039658,12321.74426118189,12330.559630777781,12330.027547269048,199689700,12330.027547269048
2018-08-17,,,,,173991100,
2018-08-20,12552.92763484617,12511.904745912776,12523.17585653313,12522.332694789937,208751900,12522.332694789937
2018-08-21,12581.112984560126,12502.705074820538,12536.384992705756,12503.165099058777,219442800,12503.165099058777
2018-08-22,12605.686670668505,12548.566809236,12548.566809236,12567.401806326267,200198300,12567.401806326267
2018-08-23,12486.146090021057,12448.440643621334,12469.049127995348,12461.87402416924,171141500,12461.87402416924
2018-08-24,,,,,211605900,
2018-08-27,12709.187550508515,12663.519261561369,12663.519261561369,12685.350725612181,213875400,12685.350725612181
2018-08-28,12734.367110757641,12629.181298151745,12734.367110757641,12649.754103498133,198610200,12649.754103498133
2018-08-29,12734.535798628856,12661.845684384085,12694.005754918231,12701.523595201697,180128300,12701.523595201697
2018-08-30,12659.26883546145,12590.271220216495,12610.062067523322,12607.212672818549,216595200,12607.212672818549
2018-08-31,,,,,217160800,
2018-09-04,12354.5839743077,12260.385718954803,12354.5839743077,12267.292810216693,239502100,12267.292810216693
2018-09-05,12263.78385390275,12169.813880628564,12254.523322108298,12249.20998728859,255580900,12249.20998728859
2018-09-06,12312.007990542133,12221.698897856882,12286.161911422934,12239.563099601035,229173900,12239.563099601035
2018-09-07,,,,,225132900,
2018-09-10,12267.68793419783,12199.310829901231,12247.858870727443,12199.310829901231,200681100,12199.310829901231
2018-09-11,12334.316164122882,12230.277585668931,12281.186677507221,12320.995290674005,215647000,12320.995290674005
2018-09-12,12381.615538289567,12302.769381551354,12379.461842297109,12345.38506821064,266571000,12345.38506821064
2018-09-13,12357.328925765281,12292.740368772067,12348.101989051966,12303.889583967324,221711900,12303.889583967324
2018-09-14,,,,,194435900,
2018-09-17,12338.194273683395,12282.542881854362,12283.46162133395,12310.86607258065,222709300,12310.86607258065
2018-09-18,12487.819411660317,12405.177183344704,12427.764839472835,12485.737790849256,228914700,12485.737790849256
2018-09-19,12563.766770193442,12501.76105173558,12545.807322077042,12501.76105173558,348868600,12501.76105173558
2018-09-20,12569.177806430069,12508.598823532237,12557.325577637028,12561.043820090452,259244800,12561.043820090452
2018-09-21,,,,,497537500,
2018-09-24,12570.219069380051,12509.904436844357,12545.27463154878,12516.545728440493,234911500,12516.545728440493
2018-09-25,12580.418942291248,12471.444628888721,12556.1081340478,12471.444628888721,237368500,12471.444628888721
2018-09-26,12458.213952717713,12385.726286000785,12400.914028257375,12402.908098288795,234652900,12402.908098288795
2018-09-27,12474.916161845695,12421.373922990932,12423.21522167026,12430.271785364024,224428600,12430.271785364024
2018-09-28,,,,,260484900,
2018-10-01,12638.91188480966,12542.597136021843,12607.067139282115,12569.681061985371,232645500,12569.681061985371
2018-10-02,12548.892158880373,12471.506273485293,12548.892158880373,12494.987683842866,248211900,12494.987683842866
2018-10-03,12488.19721538272,12429.104489750805,12478.257935105823,12480.276578891364,225949100,12480.276578891364
2018-10-04,12428.559990596123,12328.327796744848,12428.25009074484,12389.086308075543,253042000,12389.086308075543
2018-10-05,,,,,208165400,
2018-10-09,12303.137926475196,12253.74898363899,12282.655626216867,12253.902963195767,228171700,12253.902963195767
2018-10-10,12129.585541978508,11885.617384467214,12129.585541978508,11889.908725408955,339860300,11889.908725408955
2018-10-11,11880.946959679228,11754.174142785305,11830.68297850872,11754.174142785305,389019100,11754.174142785305
2018-10-12,,,,,289282400,
2018-10-15,11910.98477756462,11851.10791416542,11884.125231362339,11859.573815847782,246963900,11859.573815847782
2018-10-16,12044.04887068378,11904.743240174696,11949.117207659117,12044.04887068378,280525800,12044.04887068378
2018-10-17,11943.64644565951,11863.877222395202,11937.65811197015,11923.148005310557,312769400,11923.148005310557
