Date,High,Low,Close,Open,Volume,Adj Close
2019-07-01,23412.92,23189.55,23189.55,23395.54,468100000.0,23189.55
2019-06-28,23173.6,23005.75,23159.34,23050.33,488550000.0,23159.34
2019-06-27,23111.83,22906.05,23022.58,23051.57,455720000.0,23022.58
2019-06-26,23147.51,22925.63,22965.49,22991.77,488800000.0,22965.49
2019-06-25,23202.63,23019.29,23033.45,23142.77,464460000.0,23033.45
2019-06-24,23411.74,23186.7,23201.98,23253.28,481690000.0,23201.98
2019-06-21,23457.35,23271.59,23324.65,23321.99,1050000000.0,23324.65
2019-06-20,23444.38,23291.17,23302.15,23291.17,728550000.0,23302.15
2019-06-19,23177.99,22998.16,23153.39,23069.59,652130000.0,23153.39
2019-06-18,23083.12,22430.12,23060.68,22556.81,706870000.0,23060.68
2019-06-17,22658.44,22530.94,22547.55,22596.4,441670000.0,22547.55
2019-06-14,22578.92,22468.62,22545.75,22532.35,384790000.0,22545.75
2019-06-13,22609.56,22337.77,22580.13,22391.16,445020000.0,22580.13
2019-06-12,22497.05,22377.11,22405.92,22448.18,422920000.0,22405.92
2019-06-11,22665.46,22437.87,22566.44,22445.47,546500000.0,22566.44
2019-06-10,22440.79,22291.22,22433.09,22406.55,416790000.0,22433.09
2019-06-07,22392.39,22169.68,22297.16,22177.22,484690000.0,22297.16
2019-06-06,22326.93,22001.28,22100.07,22068.43,538290000.0,22100.07
2019-06-05,22191.47,21960.98,22076.43,22129.86,555010000.0,22076.43
2019-06-04,22144.95,21649.54,22129.86,21678.97,581380000.0,22129.86
2019-06-03,21773.08,21486.99,21770.39,21580.61,454180000.0,21770.39
2019-05-31,21734.59,21439.15,21704.33,21634.6,561750000.0,21704.33
2019-05-30,22071.35,21788.23,21855.69,21973.94,396500000.0,21855.69
2019-05-29,22010.4,21822.21,21895.78,21998.75,503900000.0,21895.78
2019-05-28,22272.45,21999.63,22172.23,22265.43,826930000.0,22172.23
2019-05-27,22595.62,22209.31,22273.51,22344.69,395330000.0,22273.51
2019-05-24,22387.29,22159.02,22296.32,22171.47,543700000.0,22296.32
2019-05-23,22391.04,22028.04,22040.94,22350.57,645330000.0,22040.94
2019-05-22,22659.05,22415.03,22494.12,22571.99,517690000.00000006,22494.12
2019-05-21,22625.24,22493.72,22614.26,22544.03,581730000.0,22614.26
2019-05-20,22822.83,22389.93,22436.6,22658.06,698420000.0,22436.6
2019-05-17,23089.76,22905.56,23030.25,23080.36,641650000.0,23030.25
2019-05-16,23076.12,22688.65,23076.12,22761.09,637300000.0,23076.12
2019-05-15,22838.85,22468.08,22780.63,22838.85,740690000.0,22780.63
2019-05-14,22822.15,22578.1,22822.15,22622.98,629340000.0,22822.15
2019-05-13,22869.58,22503.93,22511.79,22869.58,856240000.0,22511.79
2019-05-10,23037.1,22807.05,22841.96,22986.01,494550000.0,22841.96
2019-05-09,23114.33,22767.19,22789.76,23114.33,676910000.0,22789.76
2019-05-08,23270.64,23040.43,23211.07,23217.03,590300000.0,23211.07
2019-05-07,23588.19,23182.51,23230.23,23465.43,646620000.0,23230.23
2019-05-06,23496.71,23262.53,23425.42,23358.19,505990000.0,23425.42
2019-05-03,23864.77,23721.47,23815.63,23776.64,442940000.0,23815.63
2019-05-02,23959.61,23739.02,23771.3,23902.59,546160000.0,23771.3
2019-04-30,23948.04,23809.06,23936.68,23824.4,501240000.0,23936.68
2019-04-29,23891.92,23704.92,23843.26,23816.72,447350000.0,23843.26
2019-04-26,23813.91,23637.44,23783.02,23784.56,434200000.0,23783.02
2019-04-25,23830.63,23704.42,23767.76,23746.37,366290000.0,23767.76
2019-04-24,23938.62,23709.81,23769.78,23891.54,616720000.0,23769.78
2019-04-23,24002.84,23859.3,23946.0,23989.54,549900000.0,23946.0
2019-04-18,24067.96,23827.69,24003.8,24039.24,646070000.0,24003.8
2019-04-17,24103.49,23955.57,24048.83,23998.23,712220000.0,24048.83
2019-04-16,24050.56,23868.51,23981.27,23982.04,622510000.0,23981.27
2019-04-15,24055.43,23898.52,23954.02,23963.86,719950000.0,23954.02
2019-04-12,23965.7,23685.7,23910.69,23728.92,868240000.0,23910.69
2019-04-11,23814.33,23519.06,23733.35,23744.19,954940000.0,23733.35
2019-04-10,23805.53,23663.82,23713.62,23738.95,811800000.0,23713.62
2019-04-09,23968.25,23670.62,23723.36,23830.61,685650000.0,23723.36
2019-04-08,23877.07,23770.64,23846.21,23844.18,676030000.0,23846.21
2019-04-05,23899.66,23751.37,23828.75,23818.76,600270000.0,23828.75
2019-04-04,23806.54,23702.44,23769.07,23762.89,772030000.0,23769.07
2019-04-03,23832.29,23670.18,23821.25,23698.39,730620000.0,23821.25
2019-04-02,23610.38,23483.24,23562.05,23569.93,584130000.0,23562.05
2019-04-01,23583.74,23380.37,23555.49,23436.44,661120000.0,23555.49
2019-03-29,23322.64,23104.74,23313.77,23226.13,877260000.0,23313.77
2019-03-28,23232.62,23051.61,23095.19,23181.27,511100000.0,23095.19
2019-03-27,23449.79,23038.99,23208.44,23209.22,662530000.0,23208.44
2019-03-26,23199.31,22995.87,23157.37,23121.4,447610000.0,23157.37
2019-03-25,23232.23,22933.63,23064.82,23028.9,483360000.0,23064.82
2019-03-22,23503.72,23069.31,23098.34,23503.72,688390000.0,23098.34
2019-03-21,23476.3,23295.1,23412.32,23380.76,453370000.0,23412.32
2019-03-20,23517.64,23358.43,23358.43,23405.7,505210000.0,23358.43
2019-03-19,23519.98,23272.75,23477.23,23315.5,656370000.0,23477.23
