Date,High,Low,Close,Open,Adj Close
2020-09-21,6007.05,5779.24,5804.29,6007.05,5804.29
2020-09-18,6055.24,6006.28,6007.05,6049.92,6007.05
2020-09-17,6078.48,5998.69,6049.92,6078.48,6049.92
2020-09-16,6119.24,6057.63,6078.48,6105.54,6078.48
2020-09-15,6123.69,6026.17,6105.54,6026.25,6105.54
2020-09-14,6080.02,6011.83,6026.25,6032.09,6026.25
2020-09-11,6057.69,5992.93,6032.09,6003.32,6032.09
2020-09-10,6028.76,5950.62,6003.32,6012.84,6003.32
2020-09-09,6031.25,5923.43,6012.84,5930.3,6012.84
2020-09-08,5985.26,5868.87,5930.3,5937.4,5930.3
2020-09-07,5946.93,5798.47,5937.4,5799.08,5937.4
2020-09-04,5904.16,5778.4,5799.08,5850.86,5799.08
2020-09-03,5996.24,5838.02,5850.86,5940.95,5850.86
2020-09-02,5974.7,5862.05,5940.95,5862.05,5940.95
2020-09-01,5972.52,5824.04,5862.05,5963.57,5862.05
2020-08-28,6033.04,5962.46,5963.57,5999.99,5963.57
2020-08-27,6062.52,5999.99,5999.99,6045.6,5999.99
2020-08-26,6050.81,5992.22,6045.6,6037.01,6045.6
2020-08-25,6173.48,6032.1,6037.01,6104.73,6037.01
2020-08-24,6119.8,6001.89,6104.73,6001.89,6104.73
2020-08-21,6036.51,5948.8,6001.89,6013.34,6001.89
2020-08-20,6111.98,6009.61,6013.34,6111.98,6013.34
2020-08-19,6114.83,6045.0,6111.98,6076.62,6111.98
2020-08-18,6162.66,6062.58,6076.62,6127.44,6076.62
2020-08-17,6140.19,6061.46,6127.44,6090.04,6127.44
2020-08-14,6185.62,6036.13,6090.04,6185.62,6090.04
2020-08-13,6280.12,6185.62,6185.62,6280.12,6185.62
2020-08-12,6297.2,6151.64,6280.12,6154.34,6280.12
2020-08-11,6206.0,6050.59,6154.34,6050.59,6154.34
2020-08-10,6099.48,6028.49,6050.59,6032.18,6050.59
2020-08-07,6046.02,5996.73,6032.18,6026.94,6032.18
2020-08-06,6104.72,5980.44,6026.94,6104.72,6026.94
2020-08-05,6111.5,6036.0,6104.72,6036.0,6104.72
2020-08-04,6056.47,5986.77,6036.0,6032.85,6036.0
2020-08-03,6038.76,5857.06,6032.85,5897.76,6032.85
2020-07-31,6046.33,5897.76,5897.76,5989.99,5897.76
2020-07-30,6145.83,5924.7,5989.99,6131.46,5989.99
2020-07-29,6155.06,6116.72,6131.46,6129.26,6131.46
2020-07-28,6149.86,6083.65,6129.26,6104.88,6129.26
2020-07-27,6127.62,6086.64,6104.88,6123.82,6104.88
2020-07-24,6211.44,6099.06,6123.82,6211.44,6123.82
2020-07-23,6273.63,6202.9,6211.44,6207.1,6211.44
2020-07-22,6270.96,6197.45,6207.1,6269.73,6207.1
2020-07-21,6315.68,6253.9,6269.73,6261.52,6269.73
2020-07-20,6297.64,6222.15,6261.52,6290.3,6261.52
2020-07-17,6293.68,6230.01,6290.3,6250.69,6290.3
2020-07-16,6296.78,6227.33,6250.69,6292.65,6250.69
2020-07-15,6323.55,6179.75,6292.65,6179.75,6292.65
2020-07-14,6179.75,6093.23,6179.75,6176.19,6179.75
2020-07-13,6187.33,6095.41,6176.19,6095.41,6176.19
2020-07-10,6108.2,6003.19,6095.41,6049.62,6095.41
2020-07-09,6176.84,6040.26,6049.62,6156.16,6049.62
2020-07-08,6208.43,6144.52,6156.16,6189.9,6156.16
2020-07-07,6285.94,6179.97,6189.9,6285.94,6189.9
2020-07-06,6304.19,6157.3,6285.94,6157.3,6285.94
2020-07-03,6262.71,6137.09,6157.3,6240.36,6157.3
2020-07-02,6258.6,6157.96,6240.36,6157.96,6240.36
2020-07-01,6201.95,6084.48,6157.96,6169.74,6157.96
2020-06-30,6237.51,6146.98,6169.74,6225.77,6169.74
2020-06-29,6251.96,6122.95,6225.77,6159.3,6225.77
2020-06-26,6262.13,6147.14,6159.3,6147.14,6159.3
2020-06-25,6162.44,6029.25,6147.14,6123.69,6147.14
2020-06-24,6320.12,6123.69,6123.69,6320.12,6123.69
2020-06-23,6342.19,6244.62,6320.12,6244.62,6320.12
2020-06-22,6309.04,6225.53,6244.62,6292.6,6244.62
2020-06-19,6319.81,6224.07,6292.6,6224.07,6292.6
2020-06-18,6284.96,6184.88,6224.07,6253.25,6224.07
2020-06-17,6309.74,6233.24,6253.25,6242.79,6253.25
2020-06-16,6299.02,6064.7,6242.79,6064.7,6242.79
2020-06-15,6105.18,5952.44,6064.7,6105.18,6064.7
2020-06-12,6184.29,5993.2,6105.18,6076.7,6105.18
2020-06-11,6329.13,6076.7,6076.7,6329.13,6076.7
2020-06-10,6387.35,6293.83,6329.13,6335.72,6329.13
2020-06-09,6475.01,6325.07,6335.72,6472.59,6335.72
2020-06-08,6511.84,6423.06,6472.59,6484.3,6472.59
2020-06-05,6489.99,6341.44,6484.3,6341.44,6484.3
2020-06-04,6402.57,6314.59,6341.44,6382.41,6341.44
2020-06-03,6394.7,6220.14,6382.41,6220.14,6382.41
2020-06-02,6238.25,6165.05,6220.14,6166.42,6220.14
2020-06-01,6179.34,6076.6,6166.42,6076.6,6166.42
2020-05-29,6218.79,6060.16,6076.6,6218.79,6076.6
2020-05-28,6234.04,6144.25,6218.79,6144.25,6218.79
