"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2020","19,510.99","19,609.56","19,728.68","19,264.47","795.55M","-0.15%"
"10/28/2020","19,540.97","20,008.34","20,051.27","19,481.85","989.97M","-4.07%"
"10/27/2020","20,370.59","20,737.62","20,737.62","20,361.10","736.39M","-1.48%"
"10/26/2020","20,676.89","20,697.75","20,952.27","20,654.18","1.09B","-1.78%"
"10/23/2020","21,050.96","20,858.13","21,139.30","20,858.13","665.98M","0.95%"
"10/22/2020","20,853.79","20,886.00","20,946.63","20,628.10","553.79M","-0.15%"
"10/21/2020","20,886.00","21,331.04","21,331.04","20,882.91","674.31M","-1.86%"
"10/20/2020","21,282.48","21,116.15","21,373.25","21,038.09","630.38M","0.55%"
"10/19/2020","21,165.78","21,279.43","21,392.89","21,104.64","959.89M","-0.10%"
"10/16/2020","21,186.23","21,008.38","21,255.10","20,833.35","681.24M","1.53%"
"10/15/2020","20,867.39","21,223.66","21,223.66","20,758.21","937.98M","-2.75%"
"10/14/2020","21,456.59","21,418.74","21,576.30","21,350.60","1.39B","0.27%"
"10/13/2020","21,399.41","21,567.23","21,577.34","21,322.38","911.82M","-0.74%"
"10/12/2020","21,558.95","21,482.35","21,603.69","21,397.50","594.49M","0.56%"
"10/09/2020","21,439.43","21,439.28","21,528.59","21,316.07","537.21M","0.04%"
"10/08/2020","21,431.01","21,384.21","21,486.31","21,322.22","552.29M","0.70%"
"10/07/2020","21,281.77","21,246.34","21,312.71","21,202.44","685.68M","0.07%"
"10/06/2020","21,266.47","21,163.62","21,359.56","21,030.60","722.38M","0.82%"
"10/05/2020","21,093.66","21,047.80","21,097.18","20,930.55","636.51M","0.91%"
"10/02/2020","20,902.74","20,671.38","20,915.76","20,655.96","645.16M","-0.01%"
"10/01/2020","20,903.95","21,013.23","21,104.99","20,807.89","720.83M","0.26%"
"09/30/2020","20,850.20","20,721.41","20,984.37","20,709.84","610.69M","-0.19%"
"09/29/2020","20,889.71","20,960.89","21,061.41","20,817.74","447.86M","-0.48%"
"09/28/2020","20,991.36","20,770.92","21,010.51","20,728.12","691.95M","2.31%"
"09/25/2020","20,517.35","20,758.42","20,758.42","20,350.59","648.60M","-1.01%"
"09/24/2020","20,726.88","20,486.60","20,924.69","20,476.15","704.65M","-0.21%"
"09/23/2020","20,770.10","20,900.31","21,063.94","20,768.12","1.06B","0.32%"
"09/22/2020","20,704.72","20,763.11","20,908.08","20,617.69","745.33M","0.49%"
"09/21/2020","20,604.62","21,256.28","21,275.81","20,589.96","912.52M","-3.55%"
"09/18/2020","21,362.22","21,524.31","21,639.17","21,350.29","1.05B","-0.99%"
"09/17/2020","21,576.11","21,489.00","21,648.65","21,477.53","1.08B","-1.07%"
"09/16/2020","21,809.10","21,829.26","21,880.27","21,645.27","1.06B","0.01%"
"09/15/2020","21,807.50","21,686.13","21,886.54","21,556.48","1.20B","0.75%"
"09/14/2020","21,646.15","21,803.74","21,825.01","21,579.45","880.72M","-0.15%"
"09/11/2020","21,678.23","21,640.11","21,732.79","21,550.11","600.83M","0.06%"
"09/10/2020","21,664.61","21,646.16","21,817.72","21,538.57","1.16B","0.18%"
"09/09/2020","21,625.69","21,200.33","21,646.44","21,200.33","1.04B","1.94%"
"09/08/2020","21,213.60","21,646.22","21,646.22","21,019.10","1.68B","-1.67%"
"09/07/2020","21,574.23","21,352.50","21,593.34","21,305.81","1.33B","1.74%"
"09/04/2020","21,204.47","21,295.57","21,617.26","21,064.33","1.83B","-0.84%"
"09/03/2020","21,384.90","21,849.20","21,989.89","21,300.32","1.42B","-1.40%"
"09/02/2020","21,688.82","21,530.76","21,865.31","21,497.69","1.15B","1.30%"
"09/01/2020","21,409.80","21,606.49","21,703.41","21,252.74","2.50B","-0.24%"
"08/31/2020","21,462.34","21,804.28","21,914.84","21,451.90","1.90B","-0.94%"
"08/28/2020","21,667.08","21,775.95","21,813.12","21,499.82","1.68B","0.00%"
"08/27/2020","21,667.00","21,958.08","21,958.08","21,667.00","1.25B","-1.36%"
"08/26/2020","21,964.91","21,796.44","21,964.91","21,762.96","419.03M","0.51%"
"08/25/2020","21,852.44","22,094.16","22,209.25","21,852.44","434.45M","-0.45%"
"08/24/2020","21,951.99","21,742.62","21,973.63","21,728.70","377.14M","1.98%"
"08/21/2020","21,526.69","21,681.04","21,693.10","21,294.89","373.42M","-0.34%"
"08/20/2020","21,601.13","21,666.20","21,758.11","21,547.99","335.49M","-1.38%"
"08/19/2020","21,902.60","21,673.24","21,902.60","21,575.01","304.02M","0.99%"
"08/18/2020","21,687.09","21,691.67","22,013.20","21,557.28","362.60M","-0.48%"
"08/17/2020","21,791.83","21,950.10","21,975.85","21,692.59","374.85M","-0.41%"
"08/14/2020","21,882.50","22,024.06","22,040.42","21,659.20","457.55M","-1.09%"
"08/13/2020","22,124.17","22,234.97","22,332.82","22,124.17","434.38M","-0.77%"
"08/12/2020","22,294.97","22,018.31","22,312.33","21,994.70","497.84M","1.06%"
"08/11/2020","22,061.41","21,700.69","22,154.08","21,700.69","640.06M","2.60%"
"08/10/2020","21,502.74","21,404.43","21,516.92","21,288.48","373.20M","0.69%"
"08/07/2020","21,356.16","21,268.61","21,405.10","21,071.49","460.75M","0.24%"
"08/06/2020","21,305.67","21,532.16","21,666.80","21,174.67","791.33M","-1.24%"
"08/05/2020","21,572.91","21,594.21","21,720.63","21,459.24","683.37M","0.60%"
"08/04/2020","21,443.43","21,349.88","21,477.30","21,185.43","706.08M","1.19%"
"08/03/2020","21,190.25","20,941.56","21,207.66","20,724.74","513.62M","1.44%"
"07/31/2020","20,889.29","21,127.14","21,324.33","20,889.27","609.52M","-0.55%"
"07/30/2020","21,004.67","21,725.60","21,765.54","20,886.66","727.07M","-3.02%"
"07/29/2020","21,659.25","21,635.45","21,713.66","21,481.38","462.34M","0.00%"
"07/28/2020","21,658.56","21,780.18","21,878.65","21,446.80","432.30M","-0.55%"
"07/27/2020","21,778.76","21,816.30","21,936.83","21,669.76","488.80M","-0.34%"
"07/24/2020","21,853.67","21,945.06","22,025.08","21,739.80","526.55M","-1.83%"
"07/23/2020","22,260.91","22,473.06","22,490.68","22,168.66","491.81M","-0.66%"
"07/22/2020","22,409.28","22,497.87","22,598.11","22,303.74","557.65M","-0.54%"
"07/21/2020","22,531.21","22,709.74","22,963.18","22,513.86","848.29M","0.50%"
"07/20/2020","22,419.92","22,131.29","22,474.12","22,022.59","654.92M","0.82%"
"07/17/2020","22,237.66","22,215.51","22,237.66","22,069.61","540.99M","0.35%"
"07/16/2020","22,159.84","21,996.55","22,187.71","21,962.07","716.43M","0.39%"
"07/15/2020","22,074.37","21,826.54","22,152.00","21,769.15","742.57M","1.93%"
"07/14/2020","21,656.38","21,592.89","21,677.15","21,453.69","544.59M","-0.67%"
"07/13/2020","21,803.34","21,859.60","21,859.60","21,527.33","552.17M","1.14%"
"07/10/2020","21,557.32","21,179.73","21,557.32","21,179.73","412.47M","1.25%"
"07/09/2020","21,291.32","21,791.29","21,805.18","21,287.65","441.68M","-1.86%"
"07/08/2020","21,694.48","21,694.97","21,884.74","21,624.86","495.38M","-0.45%"
"07/07/2020","21,793.49","21,725.03","21,849.25","21,625.98","457.35M","-0.11%"
"07/06/2020","21,816.52","21,917.69","22,022.53","21,711.25","585.34M","1.38%"
"07/03/2020","21,519.26","21,735.04","21,762.84","21,417.39","402.82M","-0.73%"
"07/02/2020","21,677.48","21,301.83","21,771.84","21,260.70","778.05M","2.77%"
"07/01/2020","21,092.28","21,223.04","21,223.04","20,756.67","612.92M","-0.22%"
"06/30/2020","21,139.31","21,287.58","21,302.20","20,984.29","589.03M","-0.36%"
"06/29/2020","21,215.01","20,923.63","21,311.77","20,869.12","616.18M","1.57%"
"06/26/2020","20,886.14","21,208.08","21,325.56","20,886.14","508.67M","-0.50%"
"06/25/2020","20,991.90","20,863.93","21,079.13","20,630.46","700.95M","0.39%"
"06/24/2020","20,911.02","21,560.15","21,677.61","20,911.02","714.34M","-3.26%"
"06/23/2020","21,616.56","21,389.77","21,662.46","21,318.05","777.12M","1.83%"
"06/22/2020","21,228.88","21,155.01","21,435.56","21,060.06","594.99M","-0.69%"
"06/19/2020","21,375.79","21,372.88","21,506.05","21,348.31","1.28B","0.57%"
"06/18/2020","21,254.48","21,320.86","21,578.99","21,085.12","808.50M","-0.42%"
"06/17/2020","21,344.90","21,446.08","21,650.93","21,238.23","756.25M","-0.23%"
"06/16/2020","21,394.39","21,140.75","21,645.14","21,052.27","1.19B","3.34%"
"06/15/2020","20,703.25","20,025.36","20,798.94","20,025.36","671.40M","0.39%"
"06/12/2020","20,623.42","20,300.07","20,914.73","20,276.43","924.37M","0.41%"
"06/11/2020","20,539.62","21,004.35","21,120.31","20,539.62","1.23B","-4.66%"
"06/10/2020","21,544.18","21,912.86","21,997.63","21,490.86","1.06B","-0.91%"
"06/09/2020","21,741.46","22,091.13","22,113.66","21,487.49","1.07B","-1.45%"
"06/08/2020","22,060.85","21,961.97","22,233.77","21,871.02","1.18B","0.24%"
"06/05/2020","22,007.64","21,709.79","22,012.61","21,680.16","1.25B","2.68%"
"06/04/2020","21,432.54","21,294.86","21,647.02","21,172.58","1.13B","0.10%"
"06/03/2020","21,410.27","20,968.86","21,410.27","20,948.66","1.14B","3.26%"
"06/02/2020","20,734.30","20,418.62","20,814.34","20,310.12","766.38M","2.32%"
"06/01/2020","20,264.79","20,194.38","20,275.23","19,972.20","671.80M","1.61%"
"05/29/2020","19,943.74","19,919.72","20,128.54","19,889.58","1.12B","-0.65%"
"05/28/2020","20,073.22","19,783.12","20,139.37","19,764.21","1.02B","2.40%"
"05/27/2020","19,603.30","19,550.16","19,921.81","19,417.27","1.04B","0.29%"
"05/26/2020","19,545.72","19,461.82","19,580.33","19,386.73","758.42M","1.48%"
"05/25/2020","19,259.72","19,075.88","19,259.72","18,939.40","442.03M","1.69%"
"05/22/2020","18,940.57","18,516.82","19,004.12","18,434.60","645.79M","1.27%"
"05/21/2020","18,703.47","18,594.99","18,899.97","18,563.74","600.59M","-0.59%"
"05/20/2020","18,814.71","18,601.38","18,849.05","18,256.46","940.02M","0.95%"
"05/19/2020","18,638.29","19,210.52","19,230.41","18,536.00","1.04B","-2.05%"
"05/18/2020","19,027.48","18,592.36","19,070.21","18,554.41","515.79M","3.11%"
"05/15/2020","18,453.81","18,652.38","18,722.49","18,398.07","435.40M","-0.05%"
